group,b_sex,Subject_id,age,f_inte,id
1,0,10001,12.0,28,0
1,0,10002,8.0,19,1
1,0,10003,13.0,27,2
1,1,11004,12.0,24,3
1,1,11005,14.0,41,4
1,0,10006,17.0,34,5
1,1,11007,16.0,17,6
1,1,11008,10.0,16,7
1,0,10009,17.0,25,8
1,0,10012,14.0,27,9
1,0,10013,15.0,23,10
1,0,10014,10.0,16,11
1,0,10015,14.0,30,12
1,0,10016,18.0,21,13
1,0,10017,8.0,16,14
1,0,10018,14.0,15,15
1,0,10019,10.0,16,16
1,1,11020,11.0,28,17
1,1,11021,16.0,49,18
1,1,11022,13.0,28,19
1,1,11023,8.0,14,20
1,0,10024,13.0,22,21
1,0,10025,15.0,60,22
1,0,10026,12.0,27,23
1,0,10027,16.0,51,24
1,0,10028,12.0,20,25
1,0,10029,11.0,31,26
1,0,10144,13.0,25,27
0,0,31,15.0,36,28
0,0,35,15.0,31,29
0,0,37,15.0,33,30
0,0,38,15.0,28,31
0,0,39,15.0,45,32
0,0,40,15.0,37,33
0,0,41,15.0,28,34
0,0,44,11.0,21,35
0,0,45,10.0,31,36
0,0,48,11.0,24,37
0,0,51,11.0,39,38
0,0,56,11.0,21,39
0,0,57,11.0,30,40
0,0,58,11.0,18,41
0,1,1032,15.0,59,42
0,1,1033,15.0,47,43
0,1,1034,15.0,47,44
0,1,1036,13.0,54,45
0,1,1042,15.0,52,46
0,1,1043,15.0,42,47
0,1,1047,11.0,25,48
0,1,1050,11.0,33,49
0,1,1052,10.0,25,50
0,1,1054,11.0,26,51
0,1,1055,11.0,27,52
0,0,20061,13.0,26,53
0,0,20062,12.0,40,54
0,0,20063,13.0,32,55
0,0,20065,13.0,54,56
0,0,20067,16.0,42,57
0,0,20069,15.0,29,58
0,0,20071,16.0,38,59
0,0,20072,16.0,31,60
0,0,20074,12.0,26,61
0,0,20075,12.0,30,62
0,0,20078,10.0,33,63
0,0,20079,12.0,31,64
0,0,20080,12.0,27,65
0,0,20081,11.0,41,66
0,0,20084,12.0,25,67
0,0,20085,17.0,35,68
0,0,20086,17.0,40,69
0,0,20087,17.0,39,70
0,0,20088,17.0,43,71
0,0,20093,13.0,27,72
0,0,20096,14.0,28,73
0,0,20098,14.0,36,74
0,0,20099,14.0,31,75
0,0,20101,14.0,35,76
0,0,20102,13.0,29,77
0,0,20104,14.0,30,78
0,0,20105,14.0,31,79
0,0,20106,13.0,28,80
0,0,20117,10.0,26,81
0,0,20118,11.0,36,82
0,0,20119,11.0,18,83
0,0,20120,11.0,23,84
0,0,20126,13.0,23,85
0,0,20130,13.0,22,86
0,0,20131,13.0,27,87
0,0,20132,14.0,41,88
0,0,20133,13.0,27,89
0,0,20135,16.0,44,90
0,0,20136,16.0,31,91
0,0,20140,13.0,30,92
0,0,20141,13.0,29,93
0,0,20142,12.0,28,94
0,0,20145,13.0,25,95
0,0,20146,13.0,28,96
0,0,20148,15.0,46,97
0,0,20149,15.0,46,98
0,0,20150,12.0,27,99
0,0,20151,12.0,19,100
0,0,20156,15.0,33,101
0,0,20157,14.0,29,102
0,0,20158,13.0,20,103
0,0,20161,12.0,21,104
0,0,20162,11.0,26,105
0,0,20165,15.0,43,106
0,0,20166,14.0,54,107
0,0,20167,14.0,37,108
0,0,20168,13.0,29,109
0,1,21046,11.0,28,110
0,1,21049,11.0,29,111
0,1,21053,11.0,26,112
0,1,21059,13.0,52,113
0,1,21060,12.0,42,114
0,1,21064,13.0,23,115
0,1,21066,13.0,32,116
0,1,21068,16.0,42,117
0,1,21070,16.0,47,118
0,1,21073,16.0,64,119
0,1,21076,12.0,29,120
0,1,21077,12.0,35,121
0,1,21082,12.0,25,122
0,1,21083,12.0,32,123
0,1,21089,17.0,31,124
0,1,21090,16.0,33,125
0,1,21091,16.0,36,126
0,1,21092,17.0,43,127
0,1,21094,14.0,37,128
0,1,21095,14.0,31,129
0,1,21097,14.0,29,130
0,1,21099,14.0,45,131
0,1,21103,14.0,28,132
0,1,20107,14.0,44,133
0,1,21108,14.0,39,134
0,1,21109,14.0,40,135
0,1,21110,14.0,28,136
0,1,21112,16.0,49,137
0,1,21113,16.0,55,138
0,1,21114,15.0,48,139
0,1,21115,11.0,8,140
0,1,21116,11.0,23,141
0,1,21121,11.0,25,142
0,1,21122,12.0,21,143
0,1,21123,12.0,28,144
0,1,21124,12.0,31,145
0,1,21125,12.0,31,146
0,1,21127,13.0,11,147
0,1,21128,13.0,42,148
0,1,21129,13.0,23,149
0,1,21134,16.0,32,150
0,1,21137,16.0,46,151
0,1,21138,16.0,31,152
0,1,21139,16.0,34,153
0,1,21143,14.0,33,154
0,1,21147,11.0,33,155
0,1,21152,11.0,22,156
0,1,21153,15.0,35,157
0,1,21154,15.0,35,158
0,1,21155,15.0,33,159
0,1,21159,14.0,27,160
0,1,21163,11.0,31,161
0,1,21164,18.0,35,162
0,1,21169,13.0,27,163
0,1,21170,14.0,25,164
0,1,21171,13.0,33,165
